StationID,StationName,StationAddress,BikesCapacity,AvailableRentBikes,ElectricBikes,GeneralBikes,AvailableReturnBikes,UpdateTime
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,3,1,2,27,2024-09-24T21:30:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:30:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:30:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:30:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,6,0,6,4,2024-09-24T21:30:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:30:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,6,1,5,11,2024-09-24T21:30:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-24T21:30:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,3,1,2,27,2024-09-24T21:30:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:30:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:30:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:30:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,6,0,6,4,2024-09-24T21:30:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:30:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,6,1,5,11,2024-09-24T21:30:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-24T21:30:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,3,1,2,27,2024-09-24T21:30:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:30:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:30:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:30:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,6,0,6,4,2024-09-24T21:30:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:30:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,6,1,5,11,2024-09-24T21:30:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-24T21:30:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,3,1,2,27,2024-09-24T21:30:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:30:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:30:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:30:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,6,0,6,4,2024-09-24T21:30:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:30:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,6,1,5,11,2024-09-24T21:30:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-24T21:30:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,3,1,2,27,2024-09-24T21:35:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:35:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:35:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:35:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,5,0,5,5,2024-09-24T21:35:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:35:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,5,0,5,12,2024-09-24T21:35:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-24T21:35:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,3,1,2,27,2024-09-24T21:35:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:35:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:35:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:35:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,5,0,5,5,2024-09-24T21:35:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:35:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,5,0,5,12,2024-09-24T21:35:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-24T21:35:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,3,1,2,27,2024-09-24T21:35:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:35:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:35:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:35:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,5,0,5,5,2024-09-24T21:35:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:35:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,5,0,5,12,2024-09-24T21:35:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-24T21:35:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,2,0,2,28,2024-09-24T21:37:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:37:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:37:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:37:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,5,0,5,5,2024-09-24T21:37:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:37:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,5,0,5,12,2024-09-24T21:37:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-24T21:37:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,2,0,2,28,2024-09-24T21:39:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:39:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:39:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:39:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,6,0,6,4,2024-09-24T21:39:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:39:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,3,0,3,14,2024-09-24T21:39:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,6,0,6,11,2024-09-24T21:39:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,2,0,2,28,2024-09-24T21:39:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:39:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,0,0,0,24,2024-09-24T21:39:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:39:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,6,0,6,4,2024-09-24T21:39:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:39:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,3,0,3,14,2024-09-24T21:39:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,6,0,6,11,2024-09-24T21:39:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,1,0,1,29,2024-09-24T21:47:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,7,0,7,24,2024-09-24T21:47:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,2,0,2,22,2024-09-24T21:47:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-24T21:47:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,7,0,7,3,2024-09-24T21:47:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-24T21:47:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,2,0,2,15,2024-09-24T21:47:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,6,0,6,11,2024-09-24T21:47:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:03:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:03:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,10,0,10,14,2024-09-25T00:03:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:03:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:03:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:03:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,7,0,7,10,2024-09-25T00:03:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:03:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:07:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:07:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,9,0,9,15,2024-09-25T00:07:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:07:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:07:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:07:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,7,0,7,10,2024-09-25T00:07:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:07:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:08:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:08:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,9,0,9,15,2024-09-25T00:08:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:08:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:08:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:08:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,7,0,7,10,2024-09-25T00:08:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:08:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:24:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:24:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,9,0,9,15,2024-09-25T00:24:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:24:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:24:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:24:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,9,0,9,8,2024-09-25T00:24:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:24:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:24:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:24:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,9,0,9,15,2024-09-25T00:24:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:24:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:24:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:24:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,9,0,9,8,2024-09-25T00:24:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:24:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:32:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:32:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,9,0,9,15,2024-09-25T00:32:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:32:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:32:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:32:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,9,0,9,8,2024-09-25T00:32:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:32:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:33:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:33:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,9,0,9,15,2024-09-25T00:33:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:33:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:33:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:33:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,9,0,9,8,2024-09-25T00:33:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:33:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:33:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:33:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,9,0,9,15,2024-09-25T00:33:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:33:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:33:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:33:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,9,0,9,8,2024-09-25T00:33:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:33:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:33:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:33:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,9,0,9,15,2024-09-25T00:33:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:33:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:33:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:33:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,9,0,9,8,2024-09-25T00:33:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:33:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:34:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:34:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,9,0,9,15,2024-09-25T00:34:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:34:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:34:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:34:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,9,0,9,8,2024-09-25T00:34:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:34:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:34:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:34:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,9,0,9,15,2024-09-25T00:34:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:34:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:34:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:34:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,9,0,9,8,2024-09-25T00:34:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:34:39+08:00
501209039,YouBike2.0_中山大學社科院,中山大學社會科學院與管理學院間人行道,30,4,0,4,26,2024-09-25T00:34:39+08:00
501209040,YouBike2.0_中山大學海工館,中山大學海工館旁,31,6,0,6,25,2024-09-25T00:34:39+08:00
501209051,YouBike2.0_中山大學工學院,中山大學工學院東側,24,9,0,9,15,2024-09-25T00:34:39+08:00
501209052,YouBike2.0_中山大學圖資大樓,中山大學圖書館東側,22,0,0,0,22,2024-09-25T00:34:39+08:00
501209054,YouBike2.0_中山大學材料大樓,中山大學材料大樓西北側,10,2,0,2,8,2024-09-25T00:34:39+08:00
501209069,YouBike2.0_中山大學體育館,中山大學體育館(北側人行道),34,0,0,0,32,2024-09-25T00:34:39+08:00
501209070,YouBike2.0_中山大學西灣藝廊,中山大學西灣藝廊(對側人行道),17,9,0,9,8,2024-09-25T00:34:39+08:00
501209071,YouBike2.0_中山大學海資館,中山大學海資館(北側),17,7,0,7,10,2024-09-25T00:34:39+08:00
